AÑO,PERIODO,ID_ESTUDIANTE,PRO_CONSECUTIVO,PROGRAMA_ESTUDIANTE,ID_PAIS_NACIMIENTO,ID_MUNICIPIO_NACIMIENTO,SEXO,SEMESTRE,ESTRATO,CIUDAD,CIRCUNSCRIPCIÓN,AÑO_INGRESO,PERIODO_INGRESO
2019,2,1,51831,ADMINISTRACION DE EMPRESAS,170,70001,F,7,01,SINCELEJO,REGULAR,2016,1
2019,2,2,51831,ADMINISTRACION DE EMPRESAS,170,70001,M,1,02,SINCELEJO,REGULAR,2019,1
2019,2,3,51831,ADMINISTRACION DE EMPRESAS,170,70215,F,6,01,COROZAL,REGULAR,2016,2
2019,2,4,51831,ADMINISTRACION DE EMPRESAS,170,70713,F,4,01,SAN ONOFRE,REGULAR,2017,1
2019,2,5,51831,ADMINISTRACION DE EMPRESAS,170,70001,M,7,No Registra,SINCELEJO,,2011,2
2019,2,6,51831,ADMINISTRACION DE EMPRESAS,170,70001,F,6,01,SINCELEJO,REGULAR,2016,2
2019,2,7,51831,ADMINISTRACION DE EMPRESAS,170,70001,M,1,01,SINCELEJO,REGULAR,2019,1
2019,2,8,51831,ADMINISTRACION DE EMPRESAS,170,70001,M,3,01,SINCELEJO,REGULAR,2018,1
2019,2,9,51831,ADMINISTRACION DE EMPRESAS,170,70110,F,2,01,BUENAVISTA,REGULAR,2018,2
2019,2,10,51831,ADMINISTRACION DE EMPRESAS,170,70001,M,5,02,SINCELEJO,REGULAR,2017,1
2019,2,11,51831,ADMINISTRACION DE EMPRESAS,170,70001,F,8,01,SINCELEJO,REGULAR,2015,2
2019,2,12,51831,ADMINISTRACION DE EMPRESAS,170,70001,F,5,01,SINCELEJO,REGULAR,2017,1
2019,2,13,51831,ADMINISTRACION DE EMPRESAS,170,70001,M,7,01,SINCELEJO,,2017,2
2019,2,14,51831,ADMINISTRACION DE EMPRESAS,170,70215,F,5,01,COROZAL,REGULAR,2017,1
2019,2,15,51831,ADMINISTRACION DE EMPRESAS,170,70001,F,5,,SINCELEJO,,2008,2
2019,2,16,51831,ADMINISTRACION DE EMPRESAS,170,70473,F,1,02,MORROA,,2011,2
2019,2,17,51831,ADMINISTRACION DE EMPRESAS,170,70508,M,1,01,OVEJAS,REGULAR,2019,1
2019,2,18,51831,ADMINISTRACION DE EMPRESAS,170,70001,F,5,01,SINCELEJO,,2015,1
2019,2,19,51831,ADMINISTRACION DE EMPRESAS,170,70001,M,2,01,SINCELEJO,REGULAR,2018,2
2019,2,20,51831,ADMINISTRACION DE EMPRESAS,170,70001,M,7,No Registra,SINCELEJO,,2014,1
2019,2,21,51831,ADMINISTRACION DE EMPRESAS,170,70001,F,1,01,SINCELEJO,REGULAR,2019,1
